,Home,Away,ScoreHome,ScoreAway,Season,NonPenaltyGoalsHome,AgeHome,Goals90minHome,NonPenaltyGoalsAway,AgeAway,Goals90minAway,RankingPlaceHome,GoalForHome,GoalAgainstHome,GoalDifferenceHome,PointsHome,TopTeamScorerGoalsHome,RankingPlaceAway,GoalForAway,GoalAgainstAway,GoalDifferenceAway,PointsAway,TopTeamScorerGoalsAway,HomeT,AwayT
58,Røa,Arna-Bjørnar,1.0,2.0,2017,42.0,22.8,42.0,36.0,22.0,37.0,5.0,42.0,28.0,14.0,37.0,17.0,6.0,39.0,28.0,11.0,35.0,7.0,10,0
59,LSK Kvinner,Arna-Bjørnar,2.0,0.0,2017,65.0,24.2,67.0,36.0,22.0,37.0,1.0,68.0,18.0,50.0,59.0,18.0,6.0,39.0,28.0,11.0,35.0,7.0,7,0
60,Trondheims-Ørn,Arna-Bjørnar,1.0,1.0,2017,36.0,22.1,36.0,36.0,22.0,37.0,8.0,36.0,36.0,0.0,30.0,8.0,6.0,39.0,28.0,11.0,35.0,7.0,13,0
61,Vålerenga,Arna-Bjørnar,2.0,2.0,2017,38.0,25.8,38.0,36.0,22.0,37.0,7.0,38.0,33.0,5.0,34.0,7.0,6.0,39.0,28.0,11.0,35.0,7.0,14,0
62,Kolbotn,Arna-Bjørnar,0.0,1.0,2017,16.0,21.9,16.0,36.0,22.0,37.0,10.0,17.0,43.0,-26.0,15.0,5.0,6.0,39.0,28.0,11.0,35.0,7.0,6,0
63,Stabæk,Arna-Bjørnar,3.0,3.0,2017,44.0,25.5,44.0,36.0,22.0,37.0,3.0,46.0,23.0,23.0,43.0,11.0,6.0,39.0,28.0,11.0,35.0,7.0,12,0
64,Klepp,Arna-Bjørnar,0.0,0.0,2017,31.0,23.5,33.0,36.0,22.0,37.0,4.0,34.0,24.0,10.0,40.0,14.0,6.0,39.0,28.0,11.0,35.0,7.0,5,0
65,Sandviken,Arna-Bjørnar,2.0,0.0,2017,23.0,24.4,23.0,36.0,22.0,37.0,9.0,23.0,34.0,-11.0,18.0,6.0,6.0,39.0,28.0,11.0,35.0,7.0,11,0
66,Medkila,Stabæk,0.0,1.0,2017,9.0,20.9,9.0,44.0,25.5,44.0,12.0,9.0,69.0,-60.0,5.0,3.0,3.0,46.0,23.0,23.0,43.0,11.0,9,12
67,Avaldsnes,Stabæk,2.0,1.0,2017,48.0,25.5,49.0,44.0,25.5,44.0,2.0,51.0,17.0,34.0,48.0,11.0,3.0,46.0,23.0,23.0,43.0,11.0,1,12
68,Grand Bodø,Stabæk,1.0,2.0,2017,29.0,22.7,30.0,44.0,25.5,44.0,11.0,30.0,80.0,-50.0,8.0,11.0,3.0,46.0,23.0,23.0,43.0,11.0,3,12
69,Røa,Stabæk,1.0,2.0,2017,42.0,22.8,42.0,44.0,25.5,44.0,5.0,42.0,28.0,14.0,37.0,17.0,3.0,46.0,23.0,23.0,43.0,11.0,10,12
70,LSK Kvinner,Stabæk,3.0,2.0,2017,65.0,24.2,67.0,44.0,25.5,44.0,1.0,68.0,18.0,50.0,59.0,18.0,3.0,46.0,23.0,23.0,43.0,11.0,7,12
71,Trondheims-Ørn,Stabæk,0.0,4.0,2017,36.0,22.1,36.0,44.0,25.5,44.0,8.0,36.0,36.0,0.0,30.0,8.0,3.0,46.0,23.0,23.0,43.0,11.0,13,12
72,Arna-Bjørnar,Stabæk,1.0,1.0,2017,36.0,22.0,37.0,44.0,25.5,44.0,6.0,39.0,28.0,11.0,35.0,7.0,3.0,46.0,23.0,23.0,43.0,11.0,0,12
73,Vålerenga,Stabæk,1.0,1.0,2017,38.0,25.8,38.0,44.0,25.5,44.0,7.0,38.0,33.0,5.0,34.0,7.0,3.0,46.0,23.0,23.0,43.0,11.0,14,12
74,Kolbotn,Stabæk,0.0,2.0,2017,16.0,21.9,16.0,44.0,25.5,44.0,10.0,17.0,43.0,-26.0,15.0,5.0,3.0,46.0,23.0,23.0,43.0,11.0,6,12
75,Klepp,Stabæk,2.0,2.0,2017,31.0,23.5,33.0,44.0,25.5,44.0,4.0,34.0,24.0,10.0,40.0,14.0,3.0,46.0,23.0,23.0,43.0,11.0,5,12
76,Sandviken,Stabæk,1.0,2.0,2017,23.0,24.4,23.0,44.0,25.5,44.0,9.0,23.0,34.0,-11.0,18.0,6.0,3.0,46.0,23.0,23.0,43.0,11.0,11,12
77,Medkila,Trondheims-Ørn,0.0,2.0,2017,9.0,20.9,9.0,36.0,22.1,36.0,12.0,9.0,69.0,-60.0,5.0,3.0,8.0,36.0,36.0,0.0,30.0,8.0,9,13
78,Avaldsnes,Trondheims-Ørn,1.0,0.0,2017,48.0,25.5,49.0,36.0,22.1,36.0,2.0,51.0,17.0,34.0,48.0,11.0,8.0,36.0,36.0,0.0,30.0,8.0,1,13
79,Grand Bodø,Trondheims-Ørn,1.0,6.0,2017,29.0,22.7,30.0,36.0,22.1,36.0,11.0,30.0,80.0,-50.0,8.0,11.0,8.0,36.0,36.0,0.0,30.0,8.0,3,13
80,Røa,Trondheims-Ørn,4.0,1.0,2017,42.0,22.8,42.0,36.0,22.1,36.0,5.0,42.0,28.0,14.0,37.0,17.0,8.0,36.0,36.0,0.0,30.0,8.0,10,13
81,LSK Kvinner,Trondheims-Ørn,3.0,0.0,2017,65.0,24.2,67.0,36.0,22.1,36.0,1.0,68.0,18.0,50.0,59.0,18.0,8.0,36.0,36.0,0.0,30.0,8.0,7,13
